PlayerID,Team,Opponent,GameID,TeamPlayerFormation,player,date,home_team,away_team,reason,status,player_y
141510,Luton,Brentford,1729433, 6,Reece Burke,2024-04-20 15:00:00,Luton,Brentford,,,
349102,Luton,Brentford,1729433, 7,Albert Sambi Lokonga,2024-04-20 15:00:00,Luton,Brentford,injured doubtful,Doubtful,Albert Sambi Lokonga
92547,Luton,Brentford,1729433, 8,Ross Barkley,2024-04-20 15:00:00,Luton,Brentford,,,
263188,Luton,Brentford,1729433, 9,Carlton Morris,2024-04-20 15:00:00,Luton,Brentford,,,
100594,Luton,Brentford,1729433, 10,Jordan Clark,2024-04-20 15:00:00,Luton,Brentford,,,
365244,Luton,Brentford,1729433, 11,Tahith Chong,2024-04-20 15:00:00,Luton,Brentford,,,
94017,Luton,Brentford,1729433, 0,,2024-04-20 15:00:00,Luton,Brentford,,,
139864,Luton,Brentford,1729433, 0,Luke Berry,2024-04-20 15:00:00,Luton,Brentford,,,
138641,Luton,Brentford,1729433, 0,Cauley Woodrow,2024-04-20 15:00:00,Luton,Brentford,,,
135717,Luton,Brentford,1729433, 0,Pelly Ruddock Mpanzu,2024-04-20 15:00:00,Luton,Brentford,,,
22319,Luton,Brentford,1729433, 0,Tim Krul,2024-04-20 15:00:00,Luton,Brentford,,,
411101,Luton,Brentford,1729433, 0,Daiki Hashioka,2024-04-20 15:00:00,Luton,Brentford,,,
71522,Luton,Brentford,1729433, 0,Andros Townsend,2024-04-20 15:00:00,Luton,Brentford,,,
141431,Luton,Brentford,1729433, 0,,2024-04-20 15:00:00,Luton,Brentford,,,
473957,Luton,Brentford,1729433, 0,,2024-04-20 15:00:00,Luton,Brentford,,,
362426,Burnley,Sheff Utd,1729439,1,,2024-04-20 15:00:00,Sheffield United,Burnley,,,
402874,Burnley,Sheff Utd,1729439, 2,Lorenz Assignon,2024-04-20 15:00:00,Sheffield United,Burnley,,,
107462,Burnley,Sheff Utd,1729439, 3,Charlie Taylor,2024-04-20 15:00:00,Sheffield United,Burnley,,,
273292,Burnley,Sheff Utd,1729439, 4,Josh Cullen,2024-04-20 15:00:00,Sheffield United,Burnley,,,
362826,Burnley,Sheff Utd,1729439, 5,Dara O'Shea,2024-04-20 15:00:00,Sheffield United,Burnley,,,
414233,Burnley,Sheff Utd,1729439, 6,Maxime Esteve,2024-04-20 15:00:00,Sheffield United,Burnley,,,
349504,Burnley,Sheff Utd,1729439, 7,Vitinho,2024-04-20 15:00:00,Sheffield United,Burnley,,,
321020,Burnley,Sheff Utd,1729439, 8,Sander Berge,2024-04-20 15:00:00,Sheffield United,Burnley,,,
444751,Burnley,Sheff Utd,1729439, 9,Wilson Odobert,2024-04-20 15:00:00,Sheffield United,Burnley,,,
371447,Burnley,Sheff Utd,1729439, 10,Lyle Foster,2024-04-20 15:00:00,Sheffield United,Burnley,,,
307202,Burnley,Sheff Utd,1729439, 11,Jacob Bruun Larsen,2024-04-20 15:00:00,Sheffield United,Burnley,,,
404852,Burnley,Sheff Utd,1729439, 0,James Trafford,2024-04-20 15:00:00,Sheffield United,Burnley,,,
41868,Burnley,Sheff Utd,1729439, 0,Johann Gudmundsson,2024-04-20 15:00:00,Sheffield United,Burnley,,,
138929,Burnley,Sheff Utd,1729439, 0,Josh Brownhill,2024-04-20 15:00:00,Sheffield United,Burnley,,,
33891,Burnley,Sheff Utd,1729439, 0,Jay Rodriguez,2024-04-20 15:00:00,Sheffield United,Burnley,,,
400244,Burnley,Sheff Utd,1729439, 0,Benson Manuel,2024-04-20 15:00:00,Sheffield United,Burnley,,,
399619,Burnley,Sheff Utd,1729439, 0,Hjalmar Ekdal,2024-04-20 15:00:00,Sheffield United,Burnley,,,
410522,Burnley,Sheff Utd,1729439, 0,David Datro Fofana,2024-04-20 15:00:00,Sheffield United,Burnley,,,
424624,Burnley,Sheff Utd,1729439, 0,Zeki Amdouni,2024-04-20 15:00:00,Sheffield United,Burnley,,,
383581,Burnley,Sheff Utd,1729439, 0,Mike Tresor,2024-04-20 15:00:00,Sheffield United,Burnley,,,
377309,Sheff Utd,Burnley,1729439,1,Ivo Grbic,2024-04-20 15:00:00,Sheffield United,Burnley,,,
354291,Sheff Utd,Burnley,1729439, 2,Jayden Bogle,2024-04-20 15:00:00,Sheffield United,Burnley,injured doubtful,Doubtful,Jayden Bogle
140667,Sheff Utd,Burnley,1729439, 3,Ben Osborn,2024-04-20 15:00:00,Sheffield United,Burnley,,,
434190,Sheff Utd,Burnley,1729439, 4,Oliver Arblaster,2024-04-20 15:00:00,Sheffield United,Burnley,,,
326642,Sheff Utd,Burnley,1729439, 5,Anel Ahmedhodzic,2024-04-20 15:00:00,Sheffield United,Burnley,,,
298687,Sheff Utd,Burnley,1729439, 6,Auston Trusty,2024-04-20 15:00:00,Sheffield United,Burnley,,,
425576,Sheff Utd,Burnley,1729439, 7,James McAtee,2024-04-20 15:00:00,Sheffield United,Burnley,,,
373964,Sheff Utd,Burnley,1729439, 8,Vinicius Souza,2024-04-20 15:00:00,Sheffield United,Burnley,,,
138695,Sheff Utd,Burnley,1729439, 9,Oliver McBurnie,2024-04-20 15:00:00,Sheffield United,Burnley,,,
332143,Sheff Utd,Burnley,1729439, 10,Gustavo Hamer,2024-04-20 15:00:00,Sheffield United,Burnley,,,
332839,Sheff Utd,Burnley,1729439, 11,Ben Brereton,2024-04-20 15:00:00,Sheffield United,Burnley,,,
382363,Sheff Utd,Burnley,1729439, 0,Cameron Archer,2024-04-20 15:00:00,Sheffield United,Burnley,,,
90324,Sheff Utd,Burnley,1729439, 0,Oliver Norwood,2024-04-20 15:00:00,Sheffield United,Burnley,,,
134482,Sheff Utd,Burnley,1729439, 0,Wes Foderingham,2024-04-20 15:00:00,Sheffield United,Burnley,,,
425353,Sheff Utd,Burnley,1729439, 0,Anis Ben Slimane,2024-04-20 15:00:00,Sheffield United,Burnley,,,
386971,Sheff Utd,Burnley,1729439, 0,Yasser Larouci,2024-04-20 15:00:00,Sheffield United,Burnley,,,
499658,Sheff Utd,Burnley,1729439, 0,,2024-04-20 15:00:00,Sheffield United,Burnley,,,
297544,Sheff Utd,Burnley,1729439, 0,Mason Holgate,2024-04-20 15:00:00,Sheffield United,Burnley,,,
416209,Sheff Utd,Burnley,1729439, 0,William Osula,2024-04-20 15:00:00,Sheffield United,Burnley,,,
456511,Sheff Utd,Burnley,1729439, 0,Andre Brooks,2024-04-20 15:00:00,Sheffield United,Burnley,,,
122714,Wolves,Arsenal,1729311,1,Jose Sa,2024-04-20 19:30:00,Wolves,Arsenal,,,
94042,Wolves,Arsenal,1729311, 2,Matt Doherty,2024-04-20 19:30:00,Wolves,Arsenal,,,
431283,Wolves,Arsenal,1729311, 3,Toti,2024-04-20 19:30:00,Wolves,Arsenal,,,
386856,Wolves,Arsenal,1729311, 4,Tommy Doyle,2024-04-20 19:30:00,Wolves,Arsenal,,,
444241,Wolves,Arsenal,1729311, 5,Santiago Bueno,2024-04-20 19:30:00,Wolves,Arsenal,,,
368310,Wolves,Arsenal,1729311, 6,Maximilian Kilman,2024-04-20 19:30:00,Wolves,Arsenal,,,
403693,Wolves,Arsenal,1729311, 7,Joao Gomes,2024-04-20 19:30:00,Wolves,Arsenal,,,
386612,Wolves,Arsenal,1729311, 8,Boubacar Traore,2024-04-20 19:30:00,Wolves,Arsenal,,,
437381,Wolves,Arsenal,1729311, 9,Tawanda Chirewa,2024-04-20 19:30:00,Wolves,Arsenal,,,
262854,Wolves,Arsenal,1729311, 10,Hwang Hee-Chan,2024-04-20 19:30:00,Wolves,Arsenal,unfit,Doubtful,Hwang Hee-Chan
409730,Wolves,Arsenal,1729311, 11,Hugo Bueno,2024-04-20 19:30:00,Wolves,Arsenal,,,
518914,Wolves,Arsenal,1729311, 0,,2024-04-20 19:30:00,Wolves,Arsenal,,,
355401,Wolves,Arsenal,1729311, 0,Rayan Ait-Nouri,2024-04-20 19:30:00,Wolves,Arsenal,injured doubtful,Doubtful,Rayan Ait-Nouri
123481,Wolves,Arsenal,1729311, 0,Mario Lemina,2024-04-20 19:30:00,Wolves,Arsenal,,,
94868,Wolves,Arsenal,1729311, 0,Pablo Sarabia,2024-04-20 19:30:00,Wolves,Arsenal,,,
134543,Wolves,Arsenal,1729311, 0,Dan Bentley,2024-04-20 19:30:00,Wolves,Arsenal,,,
512928,Wolves,Arsenal,1729311, 0,,2024-04-20 19:30:00,Wolves,Arsenal,,,
524089,Wolves,Arsenal,1729311, 0,,2024-04-20 19:30:00,Wolves,Arsenal,,,
517909,Wolves,Arsenal,1729311, 0,,2024-04-20 19:30:00,Wolves,Arsenal,,,
463235,Wolves,Arsenal,1729311, 0,Nathan Fraser,2024-04-20 19:30:00,Wolves,Arsenal,,,
276366,Arsenal,Wolves,1729311,1,David Raya,2024-04-20 19:30:00,Wolves,Arsenal,,,
322036,Arsenal,Wolves,1729311, 2,Ben White,2024-04-20 19:30:00,Wolves,Arsenal,,,
424462,Arsenal,Wolves,1729311, 3,Jakub Kiwior,2024-04-20 19:30:00,Wolves,Arsenal,,,
332325,Arsenal,Wolves,1729311, 4,Declan Rice,2024-04-20 19:30:00,Wolves,Arsenal,,,
361822,Arsenal,Wolves,1729311, 5,William Saliba,2024-04-20 19:30:00,Wolves,Arsenal,,,
